PM 2.5,PM 10,CO,CO2
99.1,116.6,1.55033,403.88055
98.1,115.3,1.59228,403.75577
94.8,110.6,1.57692,403.7626
97.4,116.2,1.62335,403.74213
99.8,117.8,1.66288,403.81082
99.3,117.2,1.60775,403.74893
99.0,117.1,1.65094,403.82468
98.4,118.0,1.61164,403.77634
96.0,114.3,1.59228,403.70139
96.7,114.9,1.58458,403.7901
96.3,112.9,1.60775,403.69464
97.5,114.6,1.6,403.73529
95.6,113.6,1.5731,403.82468
94.4,108.5,1.56929,403.80389
93.0,110.6,1.61164,403.68115
92.1,109.0,1.59228,403.64767
89.1,105.6,1.56929,403.77634
86.5,102.2,1.62335,403.72171
86.0,100.6,1.58458,403.66772
87.9,107.4,1.61164,403.68115
87.5,102.2,1.58075,403.70816
84.8,103.2,1.56929,403.70816
86.3,102.3,1.60775,403.65436
86.1,100.8,1.58843,403.64767
87.6,105.4,1.5428,403.70139
86.3,102.5,1.55033,403.65436
87.7,105.9,1.56929,403.62769
87.4,103.1,1.56548,403.62769
81.9,99.3,1.55033,403.68115
84.0,100.0,1.5241,403.65436
85.2,100.7,1.52039,403.58801
83.9,99.4,1.53156,403.64767
82.2,98.2,1.5428,403.67444
83.4,99.0,1.5353,403.62103
80.8,97.7,1.56168,403.67444
81.7,95.1,1.50559,403.58142
81.6,97.1,1.55411,403.63434
79.7,94.7,1.5241,403.6012
79.5,93.9,1.5731,403.57486
78.8,92.0,1.56168,403.6012
79.6,93.9,1.53905,403.62769
82.3,98.2,1.55789,403.61441
80.8,95.9,1.49457,403.58142
80.7,95.0,1.50559,403.62103
76.9,94.6,1.51297,403.62769
74.9,90.2,1.5353,403.56174
74.9,89.0,1.54656,403.53564
71.7,87.0,1.5731,403.58142
72.0,86.7,1.5241,403.56174
76.2,92.8,1.52039,403.54214
75.1,87.2,1.50191,403.57486
72.5,84.9,1.50191,403.52914
73.4,86.9,1.56168,403.53564
74.7,88.6,1.52783,403.50323
74.7,86.9,1.55789,403.54214
73.5,88.5,1.53156,403.50323
74.0,87.4,1.53905,403.53564
76.3,89.2,1.54656,403.59457
76.4,89.7,1.53156,403.51617
75.7,90.0,1.56548,403.68115
76.9,89.9,1.52783,403.57486
75.4,86.6,1.53905,403.54214
73.9,89.9,1.54656,403.57486
74.4,87.3,1.56548,403.54214
73.3,87.4,1.5353,403.50323
70.6,83.8,1.61164,403.53564
73.3,84.3,1.5353,403.48392
72.0,88.4,1.64698,403.4968
73.2,86.4,1.58843,403.50323
72.0,84.6,1.53905,403.4968
71.0,84.6,1.58075,403.51617
74.2,85.8,1.52039,403.45831
70.6,83.6,1.55411,403.53564
72.6,85.5,1.5353,403.50323
69.0,83.8,1.56548,403.49036
70.7,83.0,1.56168,403.51617
69.8,81.2,1.58458,403.52914
70.3,79.7,1.55789,403.5097
65.8,77.7,1.58075,403.48392
67.0,78.3,1.5731,403.45831
65.5,76.4,1.55411,403.4968
64.5,77.3,1.55033,403.43918
64.2,76.8,1.5428,403.50323
65.4,78.9,1.5428,403.48392
63.6,77.2,1.56548,403.44556
64.0,75.2,1.51297,403.4711
63.8,76.7,1.52783,403.47751
62.8,73.3,1.55789,403.44556
61.5,71.9,1.55411,403.44556
